No,Tahun,Daerah,ID,CHT-A,CHT-R,KFD,IKFD,Kode Kategori,Kode Kategori
80,2017,Kab. Bengkalis,990476,,,1.267.511.406.217,"2,694",Sangat Tinggi,5
81,2017,Kab. Indragiri Hilir,990502,,,530.486.621.457,"1,127",Sedang,3
82,2017,Kab. Indragiri Hulu,990497,,,414.686.385.662,"0,881",Sedang,3
83,2017,Kab. Kampar,990462,,,495.858.413.104,"1,054",Sedang,3
84,2017,Kab. Kuantan Singingi,980138,,,203.886.710.874,"0,433",Sangat Rendah,1
85,2017,Kab. Pelalawan,980074,,,602.762.423.737,"1,281",Tinggi,4
86,2017,Kab. Rokan Hilir,980095,,,527.460.923.624,"1,121",Sedang,3
87,2017,Kab. Rokan Hulu,980081,,,409.684.042.693,"0,871",Sedang,3
88,2017,Kab. Siak,980100,,,804.779.110.388,"1,71",Tinggi,4
89,2017,Kota Dumai,980142,,,272.955.544.870,"0,58",Rendah,2
90,2017,Kota Pekanbaru,990519,,,935.239.761.381,"1,988",Tinggi,4
91,2017,Kab. Kepulauan Meranti,978417,,,383.484.386.699,"0,815",Sedang,3
92,2017,Provinsi Jambi,990530,2.543.512.937,2.543.512.937,1.492.265.670.893,"0,457",Rendah,2
93,2017,Kab. Batang Hari,990544,254.212.167,127.191.167,195.675.936.078,"0,416",Sangat Rendah,1
94,2017,Kab. Bungo,990565,254.351.394,64.849.394,233.874.588.543,"0,497",Sangat Rendah,1
95,2017,Kab. Kerinci,990586,2.879.273.618,2.879.273.618,212.356.549.982,"0,451",Sangat Rendah,1
96,2017,Kab. Merangin,990572,563.556.500,282.315.500,259.531.580.360,"0,552",Rendah,2
97,2017,Kab. Muaro Jambi,980184,254.351.394,254.351.394,385.701.263.295,"0,82",Sedang,3
98,2017,Kab. Sarolangun,980163,254.351.394,254.351.394,263.282.909.305,"0,56",Rendah,2
99,2017,Kab. Tanjung Jabung Barat,990551,254.351.394,254.351.394,345.939.591.619,"0,735",Sedang,3
100,2017,Kab. Tanjung Jabung Timur,980522,254.351.394,309.394,252.555.806.022,"0,537",Rendah,2
101,2017,Kab. Tebo,980170,254.212.167,254.212.167,300.240.832.775,"0,638",Rendah,2
102,2017,Kota Jambi,990590,254.351.394,254.351.394,489.188.590.083,"1,04",Sedang,3
103,2017,Kota Sungai Penuh,977562,457.221.926,457.221.926,220.098.147.851,"0,468",Sangat Rendah,1
104,2017,Provinsi Sumatera Selatan,990608,2.597.717.464,1.300.343.964,3.804.093.269.497,"1,164",Tinggi,4
105,2017,Kab. Lahat,990661,162.171.000,,671.986.607.282,"1,428",Tinggi,4
106,2017,Kab. Musi Banyuasin,990633,162.273.110,102.110,940.462.877.366,"1,999",Tinggi,4
107,2017,Kab. Musi Rawas,990675,162.171.000,,481.596.353.741,"1,024",Sedang,3
108,2017,Kab. Muara Enim,990654,162.273.110,102.110,946.518.612.377,"2,012",Tinggi,4
109,2017,Kab. Ogan Komering Ilir,990682,162.356.655,41.385.655,546.510.453.142,"1,161",Tinggi,4
110,2017,Kab. Ogan Komering Ulu,990640,162.273.110,102.110,835.376.457.026,"1,775",Tinggi,4
111,2017,Kota Palembang,990696,162.273.110,102.110,1.017.611.885.482,"2,163",Sangat Tinggi,5
112,2017,Kota Prabumulih,994712,162.356.655,185.655,330.810.080.726,"0,703",Rendah,2
113,2017,Kota Pagar Alam,994729,162.171.000,,342.383.306.100,"0,728",Sedang,3
114,2017,Kota Lubuk Linggau,994733,162.338.368,167.368,313.857.187.575,"0,667",Rendah,2
115,2017,Kab. Banyuasin,997557,162.273.110,81.187.610,640.277.188.460,"1,361",Tinggi,4
116,2017,Kab. Ogan Ilir,987560,162.171.000,,393.046.799.774,"0,835",Sedang,3
117,2017,Kab. OKU Timur,987549,423.771.854,212.200.354,366.868.290.762,"0,78",Sedang,3
118,2017,Kab. OKU Selatan,987553,3.201.704.174,3.009.174,333.601.411.416,"0,709",Rendah,2
119,2017,Kab. Empat Lawang,963342,162.171.000,162.171.000,315.497.600.217,"0,671",Rendah,2
120,2017,Kab. Penukal Abab Lematang Ilir,999011,162.171.000,41.200.000,232.361.011.520,"0,494",Sangat Rendah,1
121,2017,Kab. Musi Rawas Utara,999015,162.273.110,102.110,347.401.393.750,"0,738",Sedang,3
122,2017,Provinsi Bengkulu,990718,,,1.005.883.378.813,"0,308",Sangat Rendah,1
123,2017,Kab. Bengkulu Selatan,990739,,,236.959.676.634,"0,504",Sangat Rendah,1
124,2017,Kab. Bengkulu Utara,990722,,,312.798.032.079,"0,665",Rendah,2
125,2017,Kab. Rejang Lebong,990743,,,217.279.799.733,"0,462",Sangat Rendah,1
126,2017,Kota Bengkulu,990750,,,260.101.248.058,"0,553",Rendah,2
127,2017,Kab. Kaur,998215,,,212.897.050.322,"0,452",Sangat Rendah,1
128,2017,Kab. Seluma,998201,,,215.241.595.428,"0,457",Sangat Rendah,1
129,2017,Kab. Mukomuko,998503,,,263.587.681.110,"0,56",Rendah,2
130,2017,Kab. Lebong,987600,,,187.473.034.234,"0,398",Sangat Rendah,1
131,2017,Kab. Kepahiang,987617,,,197.386.580.155,"0,419",Sangat Rendah,1
132,2017,Kab. Bengkulu Tengah,977710,,,241.528.435.662,"0,513",Sangat Rendah,1
133,2017,Provinsi Lampung,990764,3.635.621.981,3.635.621.981,1.814.866.397.502,"0,555",Sedang,3
134,2017,Kab. Lampung Barat,990807,3.304.885.896,3.304.885.896,307.417.341.324,"0,653",Rendah,2
135,2017,Kab. Lampung Selatan,990771,357.687.546,357.687.546,381.520.618.939,"0,811",Sedang,3
136,2017,Kab. Lampung Tengah,990785,450.740.733,450.740.733,488.314.130.171,"1,038",Sedang,3
137,2017,Kab. Lampung Utara,990792,332.060.971,332.060.971,288.780.034.592,"0,614",Rendah,2
138,2017,Kab. Lampung Timur,980191,831.417.893,831.417.893,482.797.434.274,"1,026",Sedang,3
139,2017,Kab. Tanggamus,993351,438.991.779,438.991.779,220.820.876.106,"0,469",Sangat Rendah,1
140,2017,Kab. Tulang Bawang,993347,242.405.710,242.405.710,323.019.627.969,"0,686",Rendah,2
141,2017,Kab. Way Kanan,980206,242.217.861,242.217.861,254.821.764.389,"0,542",Rendah,2
142,2017,Kota Bandar Lampung,990811,242.415.215,242.415.215,614.915.681.109,"1,307",Tinggi,4
143,2017,Kota Metro,980210,264.620.063,264.620.063,273.753.964.358,"0,582",Rendah,2
144,2017,Kab. Pesawaran,975311,491.302.320,491.302.320,240.705.869.379,"0,512",Sangat Rendah,1
145,2017,Kab. Pringsewu,978423,556.954.977,556.954.977,245.447.053.523,"0,522",Sangat Rendah,1
146,2017,Kab. Mesuji,978432,242.405.649,242.405.649,252.603.547.254,"0,537",Rendah,2
147,2017,Kab. Tulang Bawang Barat,978448,242.404.093,242.404.093,259.157.045.680,"0,551",Rendah,2
148,2017,Kab. Pesisir Barat,999003,242.404.456,242.404.456,278.636.230.407,"0,592",Rendah,2
149,2017,Provinsi DKI Jakarta,990828,,,25.711.301.928.673,"7,869",Sangat Tinggi,5
150,2017,Provinsi Jawa Barat,990881,102.295.692.848,102.295.692.848,9.336.866.043.928,"2,858",Sangat Tinggi,5
151,2017,Kab. Bandung,991003,11.383.925.884,11.383.925.884,1.620.088.298.407,"3,443",Sangat Tinggi,5
152,2017,Kab. Bekasi,990963,4.134.158.847,2.111.198.847,2.472.842.171.082,"5,255",Sangat Tinggi,5
153,2017,Kab. Bogor,990938,4.139.638.629,4.139.638.629,2.937.396.678.070,"6,243",Sangat Tinggi,5
154,2017,Kab. Ciamis,991045,4.417.935.405,4.417.935.405,759.984.874.978,"1,615",Tinggi,4
155,2017,Kab. Cianjur,990959,4.410.653.959,4.410.653.959,827.175.348.905,"1,758",Tinggi,4
156,2017,Kab. Cirebon,991052,4.867.587.575,4.867.587.575,958.313.388.259,"2,037",Tinggi,4
157,2017,Kab. Garut,991024,25.075.197.160,25.075.197.160,1.097.847.457.250,"2,333",Sangat Tinggi,5
158,2017,Kab. Indramayu,991070,4.158.956.370,4.158.956.370,783.638.516.607,"1,665",Tinggi,4
159,2017,Kab. Karawang,990970,80.182.577.876,80.182.577.876,781.626.348.869,"1,661",Tinggi,4
160,2017,Kab. Kuningan,991066,5.356.149.088,5.356.149.088,411.224.091.739,"0,874",Sedang,3
161,2017,Kab. Majalengka,991087,9.738.073.379,7.309.696.379,790.935.332.751,"1,681",Tinggi,4
162,2017,Kab. Purwakarta,990984,4.139.186.383,4.139.186.383,703.521.807.796,"1,495",Tinggi,4
163,2017,Kab. Subang,990991,4.230.841.579,3.174.471.829,581.821.431.855,"1,237",Tinggi,4
164,2017,Kab. Sukabumi,990942,4.161.148.550,4.161.148.550,1.192.148.949.893,"2,534",Sangat Tinggi,5
165,2017,Kab. Sumedang,991010,18.206.779.966,18.206.779.966,860.444.889.139,"1,829",Tinggi,4
166,2017,Kab. Tasikmalaya,991031,4.316.866.105,4.316.866.105,776.893.119.129,"1,651",Tinggi,4
167,2017,Kota Bandung,991091,4.064.911.747,4.064.911.747,2.421.829.106.614,"5,147",Sangat Tinggi,5
168,2017,Kota Bekasi,993330,4.064.191.959,4.064.191.959,2.289.580.315.482,"4,866",Sangat Tinggi,5
169,2017,Kota Bogor,991109,4.102.223.498,4.102.223.498,819.263.595.328,"1,741",Tinggi,4
170,2017,Kota Cirebon,991120,4.104.204.093,2.087.964.093,536.426.591.369,"1,14",Sedang,3
171,2017,Kota Depok,980032,4.067.474.148,5.246.148,1.323.643.181.630,"2,813",Sangat Tinggi,5
172,2017,Kota Sukabumi,991113,4.113.879.286,4.113.879.286,445.432.993.522,"0,947",Sedang,3
173,2017,Kota Tasikmalaya,994740,4.125.550.421,4.125.550.421,673.463.077.450,"1,431",Tinggi,4
174,2017,Kota Cimahi,994754,4.084.610.097,4.084.610.097,466.227.278.950,"0,991",Sedang,3
175,2017,Kota Banjar,998126,4.130.154.333,2.101.183.333,380.582.017.211,"0,809",Sedang,3
