id_pemda,nama_pemda,apbd_pra,apbd_pasca,trd_pra,trd_pasca,pad_pra,pad_pasca,totbl_covid,pad_transfer_pra,pad_transfer_pasca,pad_apbd_pra,pad_apbd_pasca
991120,"Kota Cirebon",1.85E+12,1.62E+12,8.89E+11,8.52E+11,5.20E+11,4.87E+11,27034054550,0.584776191,0.570949735,0.281031075,0.300610416
980032,"Kota Depok",3.70E+12,3.44E+12,1.24E+12,1.13E+12,1.27E+12,1.04E+12,1.90E+11,1.027153226,0.91463874,0.343200041,0.301134172
991113,"Kota Sukabumi",1.34E+12,1.23E+12,7.99E+11,6.98E+11,3.89E+11,3.24E+11,22347503330,0.48696946,0.464185597,0.289517738,0.264018083
994740,"Kota Tasikmalaya",1.71E+12,1.77E+12,1.18E+12,1.05E+12,3.03E+11,2.57E+11,66471180000,0.257329588,0.245217287,0.176909512,0.145037706
994754,"Kota Cimahi",1.55E+12,1.37E+12,8.21E+11,7.39E+11,4.13E+11,3.26E+11,91135292632,0.503577807,0.441504194,0.267162418,0.237994795
998126,"Kota Banjar",8.33E+11,6.42E+11,5.56E+11,5.03E+11,1.36E+11,1.19E+11,89212025916,0.244009243,0.23582203,0.162775717,0.184651393
963302,"Kab. Bandung Barat",3.28E+12,3.50E+12,1.89E+12,1.95E+12,6.14E+11,4.06E+11,2.24E+11,0.324272651,0.208141221,0.187283469,0.115842349
999002,"Kab. Pangandaran",1.40E+12,1.24E+12,8.50E+11,8.08E+11,2.50E+11,50038000000,0,0.293686039,0.061900135,0.178673813,0.040511856
991141,"Provinsi Jawa Tengah",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
991329,"Kab. Banjarnegara",2.26E+12,2.06E+12,1.40E+12,1.23E+12,2.63E+11,2.33E+11,81567373878,0.18865542,0.18908282,0.116561123,0.112851772
991290,"Kab. Banyumas",3.77E+12,3.31E+12,2.47E+12,2.26E+12,7.30E+11,6.40E+11,1.09E+11,0.295626917,0.283670073,0.193422424,0.193277224
991202,"Kab. Batang",1.93E+12,1.56E+12,1.33E+12,1.34E+12,2.17E+11,2.30E+11,78619303450,0.162850742,0.171227629,0.112888621,0.147755129
991286,"Kab. Blora",2.24E+12,2.11E+12,1.42E+12,1.55E+12,2.67E+11,2.40E+11,44417044000,0.187577176,0.15509063,0.119305179,0.113634746
991396,"Kab. Boyolali",2.48E+12,1.85E+12,1.82E+12,1.64E+12,3.69E+11,3.46E+11,3.77E+11,0.20311344,0.211030991,0.148901568,0.186603711
